esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: 3976
Scenario File Name: temporaryScenario/xosc/temporary0.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entity_Name [-] , #1 Entity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entity_Name [-] , #2 Entity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
10, 0.100000, Ego, 0, 3.000000, 0.000000, 0.857143, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.300000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.300000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 4.285714, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 56.500000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 56.500000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
11, 0.110000, Ego, 0, 3.000000, 0.000000, 0.942857, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.330000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.330000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 4.714286, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 56.650000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 56.650000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
12, 0.120000, Ego, 0, 3.000000, 0.000000, 1.028571, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.360000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.360000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 5.142857, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 56.800000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 56.800000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
13, 0.130000, Ego, 0, 3.000000, 0.000000, 1.114286, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.390000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.390000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 5.571429, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 56.950000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 56.950000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
14, 0.140000, Ego, 0, 3.000000, 0.000000, 1.200000, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.420000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.420000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 6.000000, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.100000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.100000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
15, 0.150000, Ego, 0, 3.000000, 0.000000, 1.285714, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.450000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.450000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 0.145386, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.250000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.250000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
16, 0.160000, Ego, 0, 3.000000, 0.000000, 1.371429, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.480000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.480000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 0.573958, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.400000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.400000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
17, 0.170000, Ego, 0, 3.000000, 0.000000, 1.457143, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.510000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.510000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 1.002529, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.550000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.550000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
18, 0.180000, Ego, 0, 3.000000, 0.000000, 1.542857, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.540000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.540000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 1.431100, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.700000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.700000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
19, 0.190000, Ego, 0, 3.000000, 0.000000, 1.628571, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.570000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.570000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 1.859672, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 57.850000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 57.850000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
20, 0.200000, Ego, 0, 3.000000, 0.000000, 1.714286, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.600000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.600000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 2.288243, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.000000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.000000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
21, 0.210000, Ego, 0, 3.000000, 0.000000, 1.800000, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.630000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.630000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 2.716815, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.150000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.150000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
22, 0.220000, Ego, 0, 3.000000, 0.000000, 1.885714, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.660000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.660000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 3.145386, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.300000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.300000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
23, 0.230000, Ego, 0, 3.000000, 0.000000, 1.971429, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.690000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.690000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 3.573958, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.450000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.450000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
24, 0.240000, Ego, 0, 3.000000, 0.000000, 2.057143, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.720000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.720000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 4.002529, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.600000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.600000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
25, 0.250000, Ego, 0, 3.000000, 0.000000, 2.142857, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.750000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.750000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 4.431100, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.750000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.750000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
26, 0.260000, Ego, 0, 3.000000, 0.000000, 2.228571, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.780000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.780000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 4.859672, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 58.900000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 58.900000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
27, 0.270000, Ego, 0, 3.000000, 0.000000, 2.314286, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.810000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.810000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 5.288243, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.050000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.050000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
28, 0.280000, Ego, 0, 3.000000, 0.000000, 2.400000, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.840000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.840000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 5.716815, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.200000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.200000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
29, 0.290000, Ego, 0, 3.000000, 0.000000, 2.485714, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.870000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.870000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 6.145386, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.350000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.350000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
30, 0.300000, Ego, 0, 3.000000, 0.000000, 2.571429, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.900000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.900000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 0.290772, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.500000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.500000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
31, 0.310000, Ego, 0, 3.000000, 0.000000, 2.657143, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.930000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.930000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 0.719344, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.650000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.650000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
32, 0.320000, Ego, 0, 3.000000, 0.000000, 2.742857, 2.000000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 25.960000, -4.500000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.960000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Target, 1, 15.000000, 0.000000, 1.147915, 1.300000, 0.000000, 0.800000, 4.500000, 1.800000, 1.500000, 59.800000, -4.500000, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 59.800000, -4.500000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
